               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023441,            0.026874,            0.001748,             0.94947,             0.92301,             0.94758,             0.61613,            0.027575,            0.022945,           0.0035074,            0.070545,           0.0032727,           0.0032727
                   1,            0.025867,            0.028333,           0.0019206,             0.95637,             0.91039,              0.9428,             0.53051,            0.033871,            0.023814,           0.0024466,            0.040327,           0.0063881,           0.0063881
                   2,            0.029233,            0.028784,           0.0024155,             0.94061,             0.91297,              0.9395,              0.5833,              0.0293,            0.023261,           0.0033451,           0.0098895,           0.0092834,           0.0092834
                   3,            0.030215,            0.031627,           0.0027465,             0.94237,             0.86218,             0.92671,             0.49128,            0.036602,            0.025584,           0.0036355,             0.00901,             0.00901,             0.00901
                   4,            0.030145,            0.031844,           0.0030072,             0.91448,             0.88043,             0.91674,             0.52726,            0.031892,            0.024986,           0.0050817,             0.00901,             0.00901,             0.00901
                   5,            0.030396,            0.032354,           0.0032754,              0.9259,             0.87978,             0.91767,             0.51056,             0.03379,            0.025175,           0.0044756,             0.00868,             0.00868,             0.00868
                   6,            0.030238,            0.032652,           0.0033188,             0.92504,             0.87435,             0.91969,             0.55419,            0.030695,            0.025182,           0.0045935,             0.00835,             0.00835,             0.00835
                   7,            0.029523,            0.031945,           0.0028352,             0.92737,             0.88768,              0.9245,             0.54634,            0.031396,            0.024624,           0.0041752,             0.00802,             0.00802,             0.00802
                   8,            0.029128,            0.031329,           0.0027614,             0.93141,              0.8738,             0.91999,             0.54657,            0.031093,            0.025314,           0.0046547,             0.00769,             0.00769,             0.00769
                   9,            0.029606,            0.031579,           0.0030028,             0.93251,             0.88434,             0.92806,             0.54854,              0.0312,            0.024719,           0.0045742,             0.00736,             0.00736,             0.00736
                  10,            0.028316,            0.031253,           0.0027885,             0.94298,             0.88981,             0.93433,             0.57856,             0.02969,             0.02424,           0.0033637,             0.00703,             0.00703,             0.00703
                  11,            0.028089,            0.031386,           0.0025319,               0.946,             0.89999,             0.93724,             0.57445,            0.029424,            0.023911,           0.0042768,              0.0067,              0.0067,              0.0067
                  12,            0.027229,            0.029338,           0.0025042,             0.93624,             0.89143,             0.93239,             0.57788,            0.028933,             0.02391,           0.0039065,             0.00637,             0.00637,             0.00637
                  13,            0.026837,            0.029059,           0.0023347,             0.94273,              0.9006,              0.9442,             0.59935,            0.028349,            0.023189,           0.0033235,             0.00604,             0.00604,             0.00604
                  14,            0.026332,            0.029376,           0.0022302,             0.95883,             0.89087,             0.93621,             0.60546,            0.027486,            0.022324,           0.0032743,             0.00571,             0.00571,             0.00571
                  15,            0.026381,             0.02911,           0.0022722,             0.93241,             0.90615,             0.93983,             0.57477,            0.029786,            0.024615,           0.0034897,             0.00538,             0.00538,             0.00538
                  16,            0.025028,            0.028626,           0.0020129,             0.95141,             0.89088,             0.93686,             0.59461,             0.02814,            0.023884,           0.0036504,             0.00505,             0.00505,             0.00505
                  17,            0.025023,            0.028055,           0.0020173,             0.95906,              0.9031,             0.94456,             0.61199,            0.027799,            0.023389,           0.0026242,             0.00472,             0.00472,             0.00472
                  18,            0.024609,            0.027169,           0.0019217,             0.96596,             0.91377,             0.95175,             0.62663,            0.027047,            0.022364,           0.0023211,             0.00439,             0.00439,             0.00439
                  19,            0.024012,            0.027111,           0.0018053,             0.96593,             0.91328,             0.95689,             0.63064,            0.026731,            0.022491,           0.0022903,             0.00406,             0.00406,             0.00406
                  20,            0.023615,            0.026907,           0.0017081,             0.96136,             0.90914,             0.94699,             0.61454,            0.027267,            0.023187,           0.0028114,             0.00373,             0.00373,             0.00373
                  21,            0.023158,            0.025986,           0.0015342,             0.96314,             0.91352,             0.94962,              0.6343,            0.026391,            0.022443,           0.0021783,              0.0034,              0.0034,              0.0034
                  22,            0.023048,            0.026384,           0.0016345,              0.9631,             0.92432,             0.95826,             0.64382,             0.02574,            0.021636,           0.0022663,             0.00307,             0.00307,             0.00307
                  23,            0.022598,            0.025212,           0.0015326,             0.96301,             0.92584,             0.95927,             0.64266,              0.0259,            0.021237,           0.0021865,             0.00274,             0.00274,             0.00274
                  24,            0.021743,            0.024499,           0.0014624,             0.96576,             0.92044,             0.95918,             0.65442,            0.024978,            0.021332,           0.0023348,             0.00241,             0.00241,             0.00241
                  25,             0.02166,            0.026069,           0.0013851,             0.96854,             0.92003,             0.95996,             0.65491,            0.024977,            0.021091,           0.0020818,             0.00208,             0.00208,             0.00208
                  26,            0.021766,             0.02551,           0.0015894,             0.96204,             0.91811,             0.95396,             0.64514,             0.02528,            0.021614,           0.0022404,             0.00175,             0.00175,             0.00175
                  27,            0.021286,            0.024593,           0.0014413,             0.96212,             0.92771,             0.96072,              0.6572,            0.024777,            0.020757,           0.0019133,             0.00142,             0.00142,             0.00142
                  28,            0.020804,            0.024899,           0.0013896,             0.95414,             0.92878,             0.95651,              0.6627,            0.024497,            0.020945,           0.0020773,             0.00109,             0.00109,             0.00109
                  29,            0.020624,            0.024274,           0.0014315,             0.96627,              0.9237,             0.95856,             0.66146,            0.024541,            0.021243,           0.0020341,             0.00076,             0.00076,             0.00076
